/Users/vladimirpylov/kuvalda_automation_kit/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
[1/4] Discovering article URLs...
Discovered 406 article URLs
[45/406 новая статья 45/406] https://www.kuvalda.ru/blog/articles/newinstr/novyj-perforator-dewalt-dch172n.html
[46/406 новая статья 46/406] https://www.kuvalda.ru/blog/articles/newinstr/novinki-metabo-5-akkumulyatornyh-instrumentov-dlya-sada.html
[47/406 новая статья 47/406] https://www.kuvalda.ru/blog/articles/polz/uhod-za-gazonom-s-husqvarna.html
[48/406 новая статья 48/406] https://www.kuvalda.ru/blog/articles/polz/drovnica-sdelat-samomu-ili-kupit.html
[49/406 новая статья 49/406] https://www.kuvalda.ru/blog/articles/polz/vse-preimushestva-kapelnogo-poliva.html
[50/406 новая статья 50/406] https://www.kuvalda.ru/blog/articles/polz/ekstraktor-kak-izvlech-povrezhdennyj-krepezh.html
[51/406 новая статья 51/406] https://www.kuvalda.ru/blog/articles/polz/zachem-udobryat-gazon-i-kak-pravilno-eto-delat.html
[52/406 новая статья 52/406] https://www.kuvalda.ru/blog/articles/raznoe/kak-razobrat-dom-ne-povrediv-ni-odnoj-detali-.html
[53/406 новая статья 53/406] https://www.kuvalda.ru/blog/articles/newinstr/novinka-ot-esab-elektrody-ok-goldrox.html
[54/406 новая статья 54/406] https://www.kuvalda.ru/blog/articles/polz/sushestvuet-li-alternativa-sadovoj-tachke.html
[55/406 новая статья 55/406] https://www.kuvalda.ru/blog/articles/newinstr/novinka-makita-2021-akkumulyatornyj-sadovyj-bur.html
[56/406 новая статья 56/406] https://www.kuvalda.ru/blog/articles/newinstr/novinka-bosch-diy-2021-lazernyj-nivelir-kotoryj-udivlyaet-svoej-konstrukciej.html
[57/406 новая статья 57/406] https://www.kuvalda.ru/blog/articles/polz/chto-takoe-zausovka-plitki-kak-oformlyayut-vneshnie-ugly-v-sovremennom-remonte.html
[58/406 новая статья 58/406] https://www.kuvalda.ru/blog/articles/polz/hitryj-krepezh-lestnic-k-avtobagazhniku.html
[59/406 новая статья 59/406] https://www.kuvalda.ru/blog/articles/newinstr/vtoraya-novinka-bosch-2021-perforator-gbh-220-professional.html
[60/406 новая статья 60/406] https://www.kuvalda.ru/blog/articles/newinstr/novinka-bosch-2021-frezer-gof-130.html
[61/406 новая статья 61/406] https://www.kuvalda.ru/blog/articles/raznoe/starinnyj-radiator-s-dvojnym-naznacheniem.html
[62/406 новая статья 62/406] https://www.kuvalda.ru/blog/articles/raznoe/stroitelnaya-mashina-protiv-kamenshikov.html
